id,amenities,bathrooms,bedrooms,has_photo,pets_allowed,price_type,square_feet,address,cityname,state,latitude,longitude,price
4764,,1.0,1.0,Thumbnail,,Monthly,,,Austin,TX,30.3054,-97.7497,1544.0
4765,,1.0,1.0,Yes,Cats,Monthly,911.0,,Decatur,GA,33.7709,-84.2931,1452.0
4766,"AC,Dishwasher,Parking",1.0,2.0,Thumbnail,,,864.0,,Elyria,OH,41.3711,-82.1168,640.0
4767,Parking,1.0,1.0,,,Monthly,,,Irvine,CA,33.6458,-117.8423,1985.0
4768,"Dishwasher,Elevator,Garbage Disposal,Parking,Patio/Deck,Refrigerator,Storage",1.0,1.0,Thumbnail,,Monthly,600.0,153 Schwitter Avenue,Pittsburgh,,40.4448,-79.9725,825.0
4769,"Parking,Patio/Deck,Playground,Refrigerator",1.0,,Thumbnail,,Monthly,,1625 Barton Drive,Shreveport,LA,32.4645,-93.7879,400.0
4770,"Fireplace,Parking,Patio/Deck,Pool",1.0,2.0,,"Cats,Dogs",Monthly,543.0,,Charlotte,NC,35.2091,-80.858,1548.0
4771,"Dishwasher,Garbage Disposal,Refrigerator,Wood Floors",,,Thumbnail,,Monthly,,,Merchantville,NJ,39.9502,-75.0605,1725.0
4772,"Gated,Parking,Pool",1.0,1.0,Yes,,Monthly,768.0,,Dallas,TX,32.7826,-96.777,1945.0
4773,"Patio/Deck,Playground,Pool",,1.0,,,Monthly,730.0,,Suitland,MD,38.8391,-76.9175,1060.0
4774,"Gated,Parking,Pool",,2.0,Yes,,Monthly,,,Parker,CO,39.4732,-104.7688,1285.0
4775,"AC,Clubhouse,Gym,Patio/Deck,Tennis,Washer Dryer",1.0,,Thumbnail,,,858.0,,Alexandria,,38.783,-77.12,1570.0
4776,"Parking,Patio/Deck,Storage",,1.0,Yes,,Monthly,,,Akron,,41.1058,-81.5013,695.0
4777,"Clubhouse,Fireplace,Parking,Pool,Washer Dryer",2.0,2.0,Yes,,Monthly,887.0,,,TX,32.8524,-97.0886,1066.0
4778,Parking,1.0,,Yes,,Monthly,850.0,,Beachwood,OH,41.4712,-81.5155,910.0
4779,,1.0,1.0,,"Cats,Dogs",Monthly,806.0,13300 Atlantic Blvd,Jacksonville,FL,30.2989,-81.6324,1110.0
4780,"Gym,Parking,Storage",,2.0,Yes,,Monthly,1246.0,,Cleveland,OH,41.4946,-81.6755,2300.0
4781,"AC,Basketball,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Gym,Refrigerator,Tennis,Washer Dryer",1.0,1.0,Yes,"Cats,Dogs",Monthly,760.0,,Las Vegas,NV,36.2548,-115.5263,695.0
4782,"AC,Cable or Satellite,Elevator,Gated,Gym,Parking,Storage,Washer Dryer",,2.0,Thumbnail,"Cats,Dogs",Monthly,1000.0,,Saint Joseph,MO,39.7664,-94.8439,825.0
4783,"Basketball,Gym,Parking,Pool,Storage,Tennis",1.0,2.0,Thumbnail,,Monthly,853.0,,College Park,MD,38.9986,-76.9273,1620.0
4784,"Dishwasher,Parking,Pool,Washer Dryer,Wood Floors",1.0,,Yes,"Cats,Dogs",,551.0,,Port Saint Lucie,FL,27.3071,-80.4554,1130.0
4785,"AC,Cable or Satellite,Clubhouse,Dishwasher,Gym,Patio/Deck,Playground,Pool,Refrigerator,Storage",1.0,1.0,Yes,"Cats,Dogs",,810.0,,Temple Hills,,38.8168,-76.9368,1230.0
4786,"AC,Cable or Satellite,Dishwasher,Internet Access,Refrigerator,Washer Dryer,Wood Floors",,2.0,No,"Cats,Dogs",,1244.0,,Newark,NJ,40.7394,-74.1845,2250.0
4787,"Cable or Satellite,Parking,Storage",1.0,2.0,,,Monthly,800.0,,Winston Salem,NC,36.1515,-80.2356,425.0
4788,"Fireplace,Gym,Parking,Pool,Washer Dryer",,2.0,Thumbnail,"Cats,Dogs",Monthly,,,Bedford,TX,32.8525,-97.1399,1319.0
4789,Pool,,2.0,Yes,"Cats,Dogs",Monthly,1042.0,,Grand Prairie,TX,32.7722,-97.0041,998.0
4790,"Cable or Satellite,Dishwasher,Fireplace,Garbage Disposal,Refrigerator,Storage",,1.0,Thumbnail,,Monthly,627.0,,Leesville,LA,31.1254,-93.2763,499.0
4791,,1.0,1.0,,"Cats,Dogs",Monthly,504.0,,Denver,CO,39.8502,-104.9699,1030.0
4792,,1.0,1.0,Yes,,Monthly,816.0,,Longmont,CO,40.1612,-104.9655,1427.0
4793,Washer Dryer,,3.0,,,Monthly,,,Rocky Mount,NC,35.9728,-77.8304,750.0
4794,"AC,Clubhouse,Dishwasher,Fireplace,Parking,Patio/Deck,Playground",2.0,3.0,Yes,,Monthly,1500.0,,Clarkston,GA,33.8091,-84.238,856.0
4795,"Gym,Parking,Patio/Deck,Pool,Washer Dryer",,,,,Monthly,1016.0,,Toledo,OH,41.6545,-83.6757,855.0
4796,,1.0,1.0,Yes,"Cats,Dogs",Monthly,400.0,,Fort Collins,CO,40.5849,-105.1128,980.0
4797,"Tennis,Wood Floors",2.0,3.0,Yes,,,,,Chevy Chase,MD,38.9799,-77.0798,3133.0
4798,"Gym,Parking,Patio/Deck,Pool,Storage",1.0,1.0,Yes,,Monthly,786.0,,Bothell,WA,47.8441,-122.1991,1387.0
4799,"Fireplace,Parking,Pool,Washer Dryer",,2.0,Yes,"Cats,Dogs",Monthly,,,,,35.7181,-78.7326,1358.0
4800,,1.0,2.0,No,,Monthly,950.0,,,VA,36.5796,-76.3091,890.0
4801,,,1.0,Yes,,,725.0,,Plainfield,NJ,40.6277,-74.4334,1438.0
4802,"Fireplace,Patio/Deck",2.0,4.0,Thumbnail,"Cats,Dogs",Monthly,,2414 Dewey Creek Ln,Charlotte,NC,35.2016,-80.8124,1499.0
4803,"Cable or Satellite,Clubhouse,Dishwasher,Elevator,Gym,Internet Access,Refrigerator,Storage,TV,Washer Dryer",1.0,1.0,Yes,"Cats,Dogs",,584.0,,Norfolk,VA,36.8532,-76.2902,1140.0
4804,"Clubhouse,Fireplace,Parking,Patio/Deck,Pool,View",1.0,1.0,Yes,"Cats,Dogs",Monthly,,,Boulder,,40.015,-105.27,1665.0
4805,"Dishwasher,Internet Access,Pool,Refrigerator,Storage",,1.0,Thumbnail,"Cats,Dogs",Monthly,500.0,2211 Pratt St #B-208,Longmont,CO,40.162,-105.1342,1365.0
4806,"Parking,Wood Floors",1.0,1.0,Yes,,Monthly,344.0,,East Orange,NJ,40.7647,-74.2119,1175.0
4807,"Fireplace,Gym,Pool,Tennis,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",Monthly,1195.0,,Lilburn,GA,33.873,-84.112,1092.0
4808,"AC,Gym,Pool",2.0,2.0,Yes,,,1000.0,,Los Angeles,CA,34.063,-118.4363,4395.0
4809,"Fireplace,Parking,Storage,Washer Dryer",,3.0,Yes,,Monthly,1652.0,,Hyattsville,MD,38.9408,-76.9283,2200.0
4810,,4.0,,Thumbnail,,Monthly,,3302 20th St,Lubbock,,33.56,-101.8904,2500.0
4811,"Patio/Deck,Storage",,1.0,Yes,,,,,Dallas,TX,33.0023,-96.8406,1080.0
4812,Parking,1.0,1.0,,,,766.0,,Canton,OH,40.783,-81.3597,1245.0
4813,"Fireplace,Patio/Deck",1.0,,,,Monthly,707.0,,Alexandria,VA,38.8363,-77.128,1610.0
4814,"Cable or Satellite,Dishwasher,Garbage Disposal,Gym,Internet Access,Parking,Pool,Refrigerator,Washer Dryer,Wood Floors",1.0,1.0,No,,Monthly,,,Richmond,VA,37.5585,-77.3756,1259.0
4815,"Parking,Refrigerator",,3.0,Yes,,Monthly,1515.0,,Oakland,FL,28.5553,-81.6342,1450.0
4816,"Pool,Wood Floors",1.0,1.0,No,"Cats,Dogs",Monthly,765.0,,,NJ,40.789,-74.0122,2735.0
4817,"Cable or Satellite,Fireplace,Gym,Internet Access,Parking,Pool,Washer Dryer",1.0,2.0,,,Monthly,929.0,,Laurel,MD,39.0947,-76.8189,1379.0
4818,,1.0,,Yes,,Monthly,1320.0,,Norwich,CT,41.5506,-72.0272,1450.0
4819,"AC,Cable or Satellite,Dishwasher,Gated,Internet Access,Parking,Refrigerator",,1.0,Thumbnail,"Cats,Dogs",Monthly,380.0,,,CA,34.0283,-118.2813,1465.0
4820,Parking,2.0,3.0,Yes,"Cats,Dogs",Monthly,1266.0,,Greensboro,,36.1067,-79.815,897.0
4821,"AC,Cable or Satellite,Dishwasher,Internet Access,Patio/Deck,Pool,Refrigerator,Washer Dryer",1.0,1.0,No,"Cats,Dogs",Monthly,763.0,,,MD,39.1627,-76.6354,1055.0
4822,"Parking,Patio/Deck,Pool",,1.0,,"Cats,Dogs",Monthly,510.0,,Tyler,TX,32.275,-95.3017,577.0
4823,"Parking,Washer Dryer",1.0,1.0,Yes,,Monthly,1118.0,,Littleton,,39.546,-104.9175,1619.0
4824,"Parking,Pool",1.0,2.0,Thumbnail,"Cats,Dogs",Monthly,916.0,,,PA,40.4678,-79.9134,1800.0
4825,"Parking,Storage,Washer Dryer,Wood Floors",2.0,2.0,Yes,"Cats,Dogs",Monthly,939.0,,Norman,OK,35.2505,-97.4596,1350.0
4826,,,,Thumbnail,"Cats,Dogs",Monthly,1268.0,525 E Jackson St Unit 604,Orlando,,28.5163,-81.3644,1900.0
4827,"AC,Gym,Parking,Patio/Deck,Storage,Washer Dryer",2.0,,Yes,,,853.0,,Los Angeles,CA,34.0362,-118.4223,3714.0
4828,"Fireplace,Gated,Pool",1.0,1.0,Yes,"Cats,Dogs",Monthly,590.0,,Pasadena,CA,34.1474,-118.1391,2135.0
4829,"AC,Cable or Satellite",1.0,1.0,Thumbnail,,Monthly,863.0,,Windermere,FL,28.4991,-81.5295,1230.0
4830,"AC,Cable or Satellite,Dishwasher,Elevator,Fireplace,Gated,Parking,Refrigerator,Washer Dryer",2.0,3.0,Thumbnail,"Cats,Dogs",Monthly,1900.0,,West Hollywood,CA,34.0939,-118.3801,6500.0
4831,,1.0,,Yes,,Monthly,,,,VA,37.1959,-76.5683,849.0
4832,Parking,1.0,,,,Monthly,,,Temple Hills,MD,38.8168,-76.9368,998.0
4833,Pool,2.0,3.0,,,,1292.0,,,,36.1198,-115.0497,1385.0
4834,Washer Dryer,2.0,2.0,Thumbnail,,Monthly,1070.0,,Las Vegas,NV,36.193,-115.2946,1098.0
4835,"Fireplace,Washer Dryer",2.0,2.0,Yes,,Monthly,1183.0,,Dublin,OH,40.1254,-83.0978,1235.0
4836,"AC,Cable or Satellite,Clubhouse,Gym,Internet Access,Patio/Deck,Playground,Pool,Refrigerator,Storage,Tennis,Washer Dryer",1.0,1.0,,"Cats,Dogs",Monthly,,,Bradenton,,27.5068,-82.644,1050.0
4837,"Clubhouse,Gym,Parking,Patio/Deck,Pool",1.0,,Yes,,Monthly,688.0,,Colorado Springs,CO,39.0459,-104.8179,1204.0
4838,"Parking,Pool,Refrigerator",1.0,2.0,Yes,"Cats,Dogs",,1000.0,,Los Angeles,CA,34.0998,-118.3265,2250.0
4839,"Dishwasher,Gated,Refrigerator",1.0,2.0,,,Monthly,705.0,,,CA,33.7834,-118.1506,1850.0
4840,,2.0,2.0,,,Monthly,642.0,,,TX,32.787,-96.7983,1560.0
4841,Parking,1.0,1.0,Yes,,Monthly,809.0,,Rockville,MD,39.0521,-77.119,1715.0
4842,Luxury,2.0,2.0,Yes,,Monthly,975.0,,Port Saint Lucie,,27.2981,-80.2967,1245.0
4843,"AC,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Gym,Internet Access,Parking,Patio/Deck,Playground,Pool,Refrigerator,TV,Washer Dryer",2.0,,Thumbnail,"Cats,Dogs",Monthly,1313.0,,Wake Forest,NC,35.9638,-78.5193,1414.0
4844,Gym,1.0,2.0,Yes,"Cats,Dogs",Monthly,823.0,,Hoboken,NJ,40.7462,-74.0349,2650.0
4845,"Gym,Pool,Wood Floors",1.0,1.0,Yes,"Cats,Dogs",Monthly,843.0,,,MD,39.1527,-76.9306,1940.0
4846,"AC,Cable or Satellite,Clubhouse,Dishwasher,Gym,Parking,Patio/Deck,Pool,Refrigerator,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",Monthly,,,Roselle,,40.6517,-74.2618,2465.0
4847,"Dishwasher,Patio/Deck",1.0,2.0,Yes,,Monthly,,,,NV,39.5416,-119.7383,1155.0
4848,"Basketball,Patio/Deck,Storage",2.0,2.0,Yes,,,893.0,,,VA,38.8557,-77.2601,2320.0
4849,"AC,Cable or Satellite,Doorman",1.0,1.0,,,Monthly,,,Petersburg,,37.2139,-77.4557,930.0
4850,"Dishwasher,Refrigerator",2.0,3.0,Thumbnail,"Cats,Dogs",Monthly,1570.0,3322 Lowland Dr,Douglasville,GA,33.7218,-84.744,1325.0
4851,"Playground,Pool,Storage,Tennis",,,Yes,,Monthly,952.0,,Plainsboro,NJ,40.3346,-74.5794,1785.0
4852,"Cable or Satellite,Fireplace,Patio/Deck,Washer Dryer",1.0,1.0,Yes,,,671.0,,Dayton,,39.6379,-84.1686,799.0
4853,,1.0,1.0,Thumbnail,,Monthly,986.0,,Toledo,,41.6572,-83.5295,940.0
4854,"AC,Fireplace,Parking,Wood Floors",1.0,1.0,,,Monthly,700.0,,,CA,34.2605,-118.3307,1475.0
4855,"Clubhouse,Fireplace,Gym,Parking,Patio/Deck,Pool,Washer Dryer",2.0,2.0,No,,Monthly,1175.0,,,MD,39.4276,-76.7727,1450.0
4856,"AC,Basketball,Cable or Satellite,Clubhouse,Dishwasher,Elevator,Fireplace,Gated,Gym,Internet Access,Parking,Patio/Deck,Refrigerator,Storage,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",,,,Cambridge,MA,42.3739,-71.1155,3002.0
4857,,2.0,2.0,Yes,"Cats,Dogs",,965.0,,Boston,,42.328,-71.071,3556.0
4858,"Parking,Patio/Deck,Storage",,2.0,Yes,"Cats,Dogs",,1185.0,,,CO,39.698,-105.1559,1550.0
4859,Storage,1.0,1.0,Thumbnail,,,,,,,36.8532,-76.2902,1600.0
4860,"Gym,Pool",,1.0,Yes,"Cats,Dogs",,800.0,,Alpharetta,GA,34.0791,-84.2039,1380.0
4861,"Cable or Satellite,Clubhouse,Fireplace,Parking,Patio/Deck,Pool,Refrigerator,Storage",1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,592.0,3099 Parham Drive,Grand Prairie,TX,32.7162,-97.0052,815.0
4862,,1.0,2.0,Thumbnail,"Cats,Dogs",Monthly,800.0,601-617 S 31st Ave,Omaha,NE,41.2562,-96.0404,825.0
4863,"Parking,Storage",2.0,,,,Monthly,1001.0,,Denver,,39.6847,-104.9263,2145.0
4864,"AC,Cable or Satellite,Internet Access,Patio/Deck,Playground,Pool,Refrigerator,Storage",1.0,,Yes,"Cats,Dogs",Monthly,838.0,,District Heights,MD,38.8516,-76.8871,1240.0
4865,"Gym,Parking,Pool",1.0,1.0,,,Monthly,722.0,,Lynnwood,WA,47.8616,-122.2729,1528.0
4866,"AC,Dishwasher,Fireplace,Gated,Gym,Internet Access,Parking,Patio/Deck,Pool,Refrigerator,Storage,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",Monthly,,,Arlington,TX,32.7583,-97.088,1145.0
4867,"AC,Cable or Satellite,Dishwasher,Elevator,Parking,Refrigerator,Storage,View",1.0,2.0,Yes,,Monthly,500.0,,Denver,CO,39.6847,-104.9263,950.0
4868,,2.0,3.0,Yes,,Monthly,1512.0,,Lithonia,GA,33.6795,-84.1596,1430.0
4869,,1.0,1.0,,"Cats,Dogs",Monthly,775.0,,,TX,32.6791,-97.0109,1224.0
4870,,,1.0,,"Cats,Dogs",Monthly,,3220 McKinney Avenue Unit 804,Dallas,TX,32.8212,-96.7853,2145.0
4871,,1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,675.0,,Plainsboro,NJ,40.3346,-74.5794,1300.0
4872,"Clubhouse,Gym,Pool",1.0,1.0,No,,,,,Lake Charles,LA,30.1256,-93.2027,1250.0
4873,"AC,Basketball,Cable or Satellite,Dishwasher,Gym,Patio/Deck,Playground,Refrigerator,Washer Dryer",1.0,2.0,Thumbnail,"Cats,Dogs",Monthly,830.0,,Randallstown,,39.3754,-76.8054,1105.0
4874,"Dishwasher,Fireplace,Garbage Disposal,Patio/Deck,Pool",1.0,1.0,,"Cats,Dogs",Monthly,801.0,7350 South Garnett Rd,,OK,36.0341,-95.7854,830.0
4875,"AC,Parking,Playground,Pool",1.0,2.0,No,,Monthly,731.0,,Glen Burnie,MD,39.1627,-76.6354,1071.0
4876,"Gym,Internet Access,Parking,Washer Dryer",2.0,2.0,No,,Monthly,1080.0,,,,40.6557,-74.3055,2625.0
4877,"Basketball,Gym,Tennis",1.0,2.0,Thumbnail,,Monthly,,,Rocklin,CA,38.7917,-121.2391,1300.0
4878,"Gym,Parking",1.0,1.0,Yes,,Monthly,625.0,,Arlington,TX,32.6548,-97.1587,905.0
4879,"AC,Basketball,Cable or Satellite,Clubhouse,Dishwasher,Gym,Hot Tub,Parking,Pool,Refrigerator,Tennis",1.0,,Yes,"Cats,Dogs",Monthly,418.0,,,CA,34.0324,-117.2823,1040.0
4880,"Clubhouse,Fireplace,Gym,Internet Access,Parking,Patio/Deck,Pool,View",1.0,1.0,Thumbnail,,Monthly,715.0,,,CO,39.5953,-105.0879,1349.0
4881,Elevator,1.0,2.0,Yes,,Monthly,1126.0,,Westfield,NJ,40.649,-74.3464,2900.0
4882,,,1.0,Yes,"Cats,Dogs",Monthly,748.0,,Pasadena,,34.1659,-118.1629,2926.0
4883,"Dishwasher,Gated,Refrigerator,Wood Floors",1.0,,,"Cats,Dogs",Monthly,630.0,,,TX,32.8261,-96.7472,875.0
4884,,1.0,1.0,Thumbnail,,,,56 Stamford St,,,35.5884,-82.56,1500.0
4885,"Dishwasher,Refrigerator",2.0,3.0,Thumbnail,"Cats,Dogs",Monthly,1349.0,8111 Villandry Ln,Humble,,30.0021,-95.2555,1275.0
4886,"AC,Cable or Satellite,Dishwasher,Elevator,Gated,Gym,Parking,Patio/Deck,Pool,Refrigerator,Storage,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",Monthly,1120.0,,Newport News,VA,36.9886,-76.4202,1060.0
4887,"Parking,Patio/Deck,Storage",1.0,1.0,Yes,,Monthly,830.0,,Wayne,NJ,40.9472,-74.2427,1945.0
4888,"Clubhouse,Dishwasher,Fireplace,Gym,Hot Tub,Internet Access,Patio/Deck,Pool,Refrigerator,Washer Dryer",,3.0,No,"Cats,Dogs",,1264.0,,Fountain,CO,38.6968,-104.6969,1680.0
4889,"Clubhouse,Gated,Gym,Pool,Tennis",2.0,3.0,Yes,,Monthly,1647.0,,Naples,FL,26.1584,-81.7343,4500.0
4890,,1.0,,Thumbnail,,Monthly,,1105 N Stephenson Highway,Royal Oak,MI,42.5067,-83.1545,895.0
4891,"Dishwasher,Refrigerator",2.0,3.0,Thumbnail,"Cats,Dogs",Monthly,1322.0,18807 Danalyn CT,Humble,TX,30.0021,-95.2555,1399.0
4892,,1.0,,Thumbnail,"Cats,Dogs",Monthly,600.0,3921 Marathon St,Los Angeles,CA,34.0372,-118.2972,2145.0
4893,,1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,706.0,,Baton Rouge,LA,30.4086,-91.0834,884.0
4894,"Elevator,Fireplace,Gated,Gym,Hot Tub,Patio/Deck,Pool,Storage,Wood Floors",2.0,2.0,Thumbnail,"Cats,Dogs",Monthly,1285.0,,Denver,,39.6782,-104.9616,2692.0
4895,"Fireplace,Refrigerator",,1.0,Thumbnail,"Cats,Dogs",Monthly,681.0,,Glen Allen,,37.6603,-77.5283,886.0
4896,"Internet Access,Parking,Refrigerator",1.0,1.0,,,,1476.0,305 Guy Park Avenue,,NY,42.9236,-74.1709,675.0
4897,"AC,Dishwasher,Storage,Washer Dryer",1.0,,Yes,"Cats,Dogs",,658.0,,Milford,NH,42.829,-71.658,1449.0
4898,"AC,Cable or Satellite,Clubhouse,Gym,Playground,Pool,Storage",,,No,"Cats,Dogs",Monthly,760.0,,Aurora,,39.6982,-104.8313,1030.0
4899,,1.0,,Yes,,Monthly,,,,OH,39.1054,-84.5022,1345.0
4900,Parking,1.0,1.0,Thumbnail,,Monthly,,,Port Saint Lucie,FL,27.2981,-80.2967,1250.0
4901,Pool,2.0,2.0,Yes,,,1665.0,,Dallas,TX,32.787,-96.7983,2384.0
4902,"Cable or Satellite,Parking,TV",2.0,2.0,Yes,,Monthly,1150.0,,Lexington Park,MD,38.2722,-76.4664,1250.0
4903,,2.0,2.0,Thumbnail,,Monthly,1088.0,,West Chester,OH,39.3374,-84.4058,1527.0
4904,"Parking,Storage,Washer Dryer",1.0,1.0,Thumbnail,,Monthly,689.0,,Denver,CO,39.7059,-104.9605,1580.0
4905,,1.0,1.0,Yes,,Monthly,756.0,,Fort Lee,NJ,40.8488,-73.9736,3029.0
4906,"Parking,Storage",1.0,1.0,,"Cats,Dogs",Monthly,722.0,,Dallas,,32.878,-96.7511,1348.0
4907,"Cable or Satellite,Internet Access,Parking,Pool,TV",2.0,3.0,Yes,,Monthly,1332.0,,Middlesex,NC,35.791,-78.1902,1289.0
4908,"Cable or Satellite,Internet Access,Refrigerator",1.0,1.0,,"Cats,Dogs",Monthly,,,Carson,CA,33.8596,-118.2552,1789.0
4909,"Gym,Playground,Pool",1.0,1.0,No,,Monthly,,,,,39.0829,-77.0612,1420.0
4910,"Parking,Pool,Washer Dryer",,,Yes,"Cats,Dogs",,1206.0,,Palm Harbor,FL,28.0763,-82.7582,1388.0
4911,"Fireplace,Gym,Pool",1.0,,Yes,,Monthly,939.0,,Chapel Hill,NC,35.8707,-79.0222,1195.0
4912,"Gym,Internet Access,Patio/Deck,Pool,Washer Dryer",1.0,1.0,Thumbnail,,Monthly,850.0,,,,36.1147,-80.0915,804.0
4913,"Gym,Pool",1.0,1.0,,,Monthly,856.0,,Lewisville,TX,33.0775,-97.0493,1080.0
4914,"Gym,Patio/Deck,Pool,Storage,Tennis,Washer Dryer",,2.0,,,Monthly,1132.0,,Fredericksburg,VA,38.2811,-77.5585,1500.0
4915,"AC,Cable or Satellite,Clubhouse,Dishwasher,Gym,Parking,Pool,Washer Dryer",,,Thumbnail,"Cats,Dogs",Monthly,,,Tucson,AZ,32.2492,-111.0303,915.0
4916,"Gym,Internet Access,Parking,Pool",1.0,1.0,,,Monthly,840.0,,Dallas,,32.829,-96.8458,1521.0
4917,Parking,2.0,2.0,Thumbnail,"Cats,Dogs",,1248.0,,Grapevine,TX,32.9314,-97.0956,2150.0
4918,,2.0,2.0,Yes,"Cats,Dogs",Monthly,1169.0,,,CO,39.7305,-104.9549,2575.0
4919,View,2.0,5.0,,,Monthly,2353.0,,Wareham,MA,41.7501,-70.7101,2000.0
4920,"AC,Cable or Satellite,Dishwasher,Gym,Parking,Pool,Storage",1.0,2.0,Thumbnail,"Cats,Dogs",Monthly,966.0,,,OH,41.5781,-83.6642,775.0
4921,"Cable or Satellite,Parking",,2.0,Yes,,Monthly,900.0,,,NJ,40.7936,-74.1644,1610.0
4922,"AC,Playground,Pool",,2.0,Yes,,Monthly,731.0,,Glen Burnie,MD,39.1627,-76.6354,1121.0
4923,"Cable or Satellite,Internet Access,Parking,Pool,TV",2.0,,Yes,,Monthly,1115.0,,Las Vegas,,36.2069,-115.2253,1109.0
4924,Patio/Deck,,2.0,Thumbnail,"Cats,Dogs",Monthly,1239.0,,,TN,35.6105,-87.0507,1130.0
4925,,1.0,2.0,No,,Monthly,,,,CA,34.0172,-118.3928,3550.0
4926,Pool,,1.0,No,,Monthly,739.0,,Dallas,,32.9158,-96.8961,1480.0
4927,"Fireplace,Parking,Pool",2.0,2.0,Yes,,Monthly,,,Braintree,,42.2094,-70.999,2610.0
4928,"Gym,Internet Access,Parking,Pool",,1.0,Yes,,,683.0,,Dallas,TX,32.829,-96.8458,1453.0
4929,"AC,Dishwasher,Parking",1.0,,Yes,"Cats,Dogs",Monthly,830.0,,Las Vegas,NV,36.1411,-115.2768,1015.0
4930,,,2.0,Yes,,Monthly,1075.0,,Raleigh,NC,35.6696,-78.6648,1080.0
4931,Parking,1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,783.0,1550 Iron Point Road,Folsom,CA,38.6857,-121.1532,1744.0
4932,"Clubhouse,Gym,Pool,Wood Floors",1.0,1.0,,,Monthly,763.0,,,MA,42.4877,-71.5184,1936.0
4933,Dishwasher,1.0,1.0,Thumbnail,,,607.0,1650 River Rd,San Marcos,TX,29.8831,-97.945,959.0
4934,"AC,Cable or Satellite,Clubhouse,Dishwasher,Gated,Gym,Internet Access,Parking,Patio/Deck,Pool,Refrigerator,Tennis,Washer Dryer",,,,,Monthly,468.0,725 S Bixel St,Los Angeles,,34.053,-118.2637,1799.0
4935,"Gym,Patio/Deck,Pool",,1.0,,,Monthly,598.0,,Los Angeles,CA,34.059,-118.3128,2438.0
4936,,1.0,,Yes,"Cats,Dogs",Monthly,681.0,,Glen Burnie,MD,39.1627,-76.6354,1095.0
4937,"Basketball,Cable or Satellite,Dishwasher,Garbage Disposal,Internet Access,Parking,Patio/Deck,Pool,Refrigerator,TV",,1.0,,"Cats,Dogs",Monthly,745.0,1130 S Scenic Ave,Springfield,MO,37.1892,-93.2908,675.0
4938,"Cable or Satellite,Garbage Disposal,Internet Access,Parking,Patio/Deck,Refrigerator",1.0,2.0,,"Cats,Dogs",Monthly,740.0,701 NE Ridgeview Dr Apartment B,Lees Summit,MO,38.9163,-94.3719,715.0
4939,"Patio/Deck,Wood Floors",1.0,3.0,Yes,"Cats,Dogs",Monthly,562.0,,Jersey City,NJ,40.722,-74.0644,2517.0
4940,Pool,,,,"Cats,Dogs",Monthly,1045.0,,Clayton,NC,35.6101,-78.4715,1005.0
4941,,1.0,1.0,Yes,,,931.0,,Jersey City,,40.722,-74.0644,2506.0
4942,,2.0,2.0,,,Monthly,,,Boston,MA,42.328,-71.071,4139.0
4943,"AC,Cable or Satellite,Clubhouse,Gated,Gym,Internet Access,Parking,Playground,Storage,Tennis,Washer Dryer",,1.0,Thumbnail,"Cats,Dogs",Monthly,965.0,,Shreveport,LA,32.4544,-93.7135,1004.0
4944,"Fireplace,Parking,Storage",,2.0,Yes,,Monthly,1223.0,,Bothell,WA,47.8441,-122.1991,2252.0
4945,"Dishwasher,Gym,Hot Tub,Parking,Patio/Deck,Playground,Pool,Refrigerator,Washer Dryer",1.0,2.0,Yes,,Monthly,850.0,,Lynnwood,WA,47.8028,-122.2849,1528.0
4946,Pool,2.0,3.0,Yes,"Cats,Dogs",,1510.0,,Lawrenceville,GA,34.0072,-84.0034,1723.0
4947,Tennis,1.0,1.0,Thumbnail,,Monthly,842.0,,Tampa,FL,28.1164,-82.3628,1020.0
4948,"Cable or Satellite,Dishwasher,Garbage Disposal,Parking,Refrigerator",1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,250.0,101 Compton Dr,Frankfort,KY,38.2006,-84.9469,499.0
4949,"Clubhouse,Gated,Parking,Patio/Deck,Pool,Storage,Tennis",,,Thumbnail,,Monthly,1260.0,,Greensboro,,36.1519,-79.8168,979.0
4950,"AC,Cable or Satellite,Dishwasher,Patio/Deck,Playground,Pool,Washer Dryer",1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,676.0,,,LA,32.3841,-93.6685,610.0
4951,"AC,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Gym,Internet Access,Parking,Patio/Deck,Playground,Pool,Refrigerator,TV,Washer Dryer",2.0,2.0,Thumbnail,"Cats,Dogs",Monthly,980.0,,Midlothian,VA,37.4315,-77.6484,1459.0
4952,"Gym,Pool,Tennis",2.0,2.0,Yes,,Monthly,1159.0,,Gaithersburg,MD,39.1088,-77.2384,1500.0
